"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"909","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1259280,2022-08-30,40.71674,-74.0161
"910","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",831600,2022-09-01,40.71674,-74.0161
"911","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1628000,2022-09-20,40.71674,-74.0161
"912","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1825000,2022-09-23,40.71674,-74.0161
"913","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2090000,2022-09-15,40.71674,-74.0161
"914","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1880000,2022-09-02,40.71674,-74.0161
"915","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2094400,2022-09-13,40.71674,-74.0161
"916","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1720000,2022-09-08,40.71674,-74.0161
"917","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",3170000,2022-09-20,40.71674,-74.0161
"918","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1686960,2022-09-28,40.71674,-74.0161
"919","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1850000,2022-09-22,40.71674,-74.0161
"920","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1924560,2022-09-09,40.71674,-74.0161
"921","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1775000,2022-08-29,40.71674,-74.0161
"922","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1983960,2022-08-30,40.71674,-74.0161
"923","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",657360,2022-09-12,40.71674,-74.0161
"924","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",690800,2022-09-21,40.71674,-74.0161
"925","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",845000,2022-09-19,40.71674,-74.0161
"926","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",781500,2022-09-20,40.71674,-74.0161
"927","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2975000,2022-10-11,40.71674,-74.0161
"928","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",760000,2022-08-24,40.71674,-74.0161
"929","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2609200,2022-09-07,40.71674,-74.0161
"930","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",685000,2022-09-19,40.71674,-74.0161
"931","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1435000,2022-09-15,40.71674,-74.0161
"932","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1265000,2022-10-06,40.71674,-74.0161
"933","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1175000,2022-10-24,40.71674,-74.0161
"934","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",3175000,2022-09-29,40.71674,-74.0161
