"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"1281","UPPER WEST SIDE (96-116)","30 WAREHOUSES","4","E7",0,1,1,15138,113886,1921,"4","E7",149700000,2021-12-16,40.80012,-73.96346
"1282","WASHINGTON HEIGHTS LOWER","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,899,3238,1899,"1","A9",1317500,2022-09-16,40.83273,-73.9405
"1283","WASHINGTON HEIGHTS LOWER","01 ONE FAMILY DWELLINGS","1","A5",1,0,1,2125,1408,1910,"1","A5",950000,2022-02-02,40.84068,-73.9373
"1284","WASHINGTON HEIGHTS LOWER","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1867,3352,1899,"1","A9",2546506,2022-03-03,40.83568,-73.94724
"1285","WASHINGTON HEIGHTS LOWER","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1867,3240,1899,"1","A9",2546506,2022-03-03,40.83565,-73.9472
"1286","WASHINGTON HEIGHTS LOWER","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1867,3240,1899,"1","A9",2546506,2022-03-03,40.83559,-73.94702
"1287","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,832,3128,1899,"1","B1",1200000,2022-03-25,40.8312,-73.94096
"1288","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B2",2,0,2,673,1425,1899,"1","B2",1750000,2022-02-14,40.83469,-73.93951
"1289","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,2194,3952,1905,"1","B1",1695000,2022-01-11,40.83564,-73.93886
"1290","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","S2",2,1,3,1665,4680,1900,"1","S2",4978192,2022-05-20,40.83431,-73.94185
"1291","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,1532,3480,1905,"1","B1",1215000,2022-07-29,40.83483,-73.94238
"1292","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B2",2,0,2,1798,3225,1910,"1","B2",1176500,2022-08-05,40.83667,-73.94197
"1293","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,1712,3680,1910,"1","B1",1351218,2022-01-14,40.83871,-73.94068
"1294","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B3",2,0,2,1800,3416,1899,"1","B3",2546506,2022-03-03,40.8357,-73.94731
"1295","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","1","B9",2,0,2,1873,3240,1899,"1","B9",1800000,2022-01-12,40.8355,-73.94683
"1296","WASHINGTON HEIGHTS LOWER","03 THREE FAMILY DWELLINGS","1","C0",3,0,3,838,2505,1947,"1","C0",1110000,2022-02-03,40.84361,-73.93664
"1297","WASHINGTON HEIGHTS LOWER","03 THREE FAMILY DWELLINGS","1","C0",3,0,3,1416,2592,1901,"1","C0",997500,2022-07-15,40.84457,-73.93511
"1298","WASHINGTON HEIGHTS LOWER","03 THREE FAMILY DWELLINGS","1","C0",3,0,3,1867,3240,1899,"1","C0",2546506,2022-03-03,40.83559,-73.94706
"1299","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2A","C3",4,0,4,1750,2954,1896,"2","C3",1735000,2022-01-28,40.83414,-73.9396
"1300","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,5617,19270,1906,"2","C1",4978192,2022-05-20,40.83648,-73.93777
"1301","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C4",20,0,20,3425,13555,1900,"2","C4",4978192,2022-05-20,40.83698,-73.93766
"1302","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C4",13,1,14,2499,11394,1910,"2","C4",249000,2022-10-13,40.83851,-73.93757
"1303","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,7779,13810,1913,"2","C1",275000,2022-08-19,40.83817,-73.93656
"1304","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C7",13,2,15,2500,11391,1910,"2","C7",37217,2021-11-04,40.8329,-73.94241
"1305","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",15,0,15,3747,12465,1913,"2","C1",4978192,2022-05-20,40.83481,-73.94312
"1306","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,0,8,1599,2721,1910,"2","C5",10,2022-06-15,40.83596,-73.94212
"1307","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2A","C3",4,0,4,1800,3676,1920,"2","C3",1813000,2022-01-25,40.83665,-73.94079
"1308","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2A","C5",4,0,4,1583,2247,1896,"2","C5",4978192,2022-05-20,40.83994,-73.93772
"1309","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C7",17,2,19,4000,16382,1911,"2","C7",3197000,2021-12-28,40.8404,-73.93676
"1310","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,4750,16350,1907,"2","C1",3950000,2022-04-21,40.84108,-73.93675
"1311","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,4156,14810,1907,"2","C1",92358,2022-02-04,40.84175,-73.93622
"1312","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",22,0,22,4134,14280,1910,"2","C1",1e+05,2022-09-23,40.84277,-73.93569
"1313","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",22,0,22,4134,14280,1910,"2","C1",50000,2021-12-08,40.84277,-73.93569
"1314","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2A","C2",5,0,5,1867,2430,1899,"2","C2",2546506,2022-03-03,40.83562,-73.94713
"1315","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C7",53,1,54,12736,49710,1922,"2","C7",8896000,2021-12-28,40.84528,-73.94101
"1316","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",42,0,42,8820,35200,1926,"2","C1",8300000,2022-05-25,40.848,-73.94136
"1317","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",33,0,33,8292,30020,1917,"2","C1",4408333,2021-12-30,40.84318,-73.9406
"1318","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",33,0,33,8292,30020,1917,"2","C1",4408333,2021-12-30,40.84318,-73.94024
"1319","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",33,0,33,8292,30020,1917,"2","C1",4408333,2021-12-30,40.84305,-73.93995
"1320","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",25,0,25,6205,22585,1920,"2","C1",4155000,2022-10-20,40.84394,-73.93974
"1321","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2","C1",17,0,17,4246,14960,1930,"2","C1",2050000,2022-08-15,40.84658,-73.93667
"1322","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",127,0,127,13926,168000,1915,"2","D1",26750000,2022-04-20,40.83387,-73.93908
"1323","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",48,0,48,9704,46485,1928,"2","D1",10100000,2022-05-31,40.83547,-73.93777
"1324","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",16,0,16,2813,10864,2019,"2","D1",5473575,2022-06-01,40.83653,-73.93858
"1325","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",55,0,55,10000,45426,1912,"2","D1",7775000,2022-03-16,40.84387,-73.93626
"1326","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",36,0,36,7000,29634,1920,"2","D1",92358,2022-04-20,40.83586,-73.94502
"1327","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",36,0,36,7000,29634,1920,"2","D1",92358,2022-10-11,40.83586,-73.94502
"1328","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D7",42,7,49,13500,65448,1920,"2","D7",4.2e+07,2021-12-20,40.84134,-73.93989
"1329","WASHINGTON HEIGHTS LOWER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",37,0,37,12948,67740,1924,"2","D1",6550000,2021-12-22,40.84713,-73.94007
"1330","WASHINGTON HEIGHTS LOWER","22 STORE BUILDINGS","4","K4",2,2,4,2499,4550,1930,"4","K4",1850000,2022-07-13,40.83393,-73.9417
"1331","WASHINGTON HEIGHTS LOWER","22 STORE BUILDINGS","4","K2",0,11,11,10110,15585,1920,"4","K2",8700000,2022-08-23,40.83497,-73.94464
"1332","WASHINGTON HEIGHTS UPPER","01 ONE FAMILY DWELLINGS","1","A5",1,0,1,1666,2472,1899,"1","A5",1100000,2022-08-30,40.85234,-73.93001
"1333","WASHINGTON HEIGHTS UPPER","01 ONE FAMILY DWELLINGS","1","A5",1,0,1,1920,3096,1901,"1","A5",1400000,2022-02-24,40.85354,-73.93164
"1334","WASHINGTON HEIGHTS UPPER","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,1881,3200,1910,"1","B1",1400000,2021-11-12,40.85351,-73.93153
"1335","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",22,0,22,4996,17760,1911,"2","C1",3400000,2021-12-14,40.85038,-73.93018
"1336","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",29,0,29,6500,24565,1920,"2","C1",5855296,2022-03-04,40.85109,-73.93023
"1337","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",21,0,21,5050,17515,1915,"2","C1",5408075,2022-03-04,40.85133,-73.93013
"1338","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",30,0,30,5035,17515,1915,"2","C1",4568045,2022-03-04,40.85144,-73.93001
"1339","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2A","C3",4,0,4,1108,2103,1910,"2","C3",70000,2022-08-08,40.85145,-73.92966
"1340","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",24,0,24,3997,14230,1907,"2","C1",2796352,2022-03-04,40.85114,-73.93126
"1341","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C7",20,2,22,5500,26268,1912,"2","C7",2476697,2022-03-04,40.85138,-73.93091
"1342","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",21,0,21,5000,25317,1920,"2","C1",1807000,2021-12-28,40.85384,-73.92931
"1343","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",22,0,22,4000,12298,1928,"2","C1",3350000,2021-12-13,40.85792,-73.93117
"1344","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,5500,19220,1909,"2","C1",2900000,2022-09-09,40.84998,-73.93737
"1345","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",43,0,43,7950,32430,1930,"2","D1",8595386,2022-03-04,40.84859,-73.93029
"1346","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",86,1,87,33000,94428,1960,"2","D1",20540248,2022-03-04,40.85066,-73.92798
"1347","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",66,0,66,15450,59449,1939,"2","D1",15278612,2022-03-04,40.85142,-73.92752
"1348","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",61,0,61,16575,61246,1938,"2","D1",18218925,2022-03-04,40.85105,-73.92758
"1349","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2","D7",39,2,41,7411,36108,1929,"2","D7",8462364,2022-03-04,40.85019,-73.92979
"1350","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",36,0,36,10150,46752,1913,"2","D1",8900000,2022-01-13,40.85031,-73.93931
"1351","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2","D1",79,0,79,13975,59952,1940,"2","D1",14625000,2021-12-15,40.85566,-73.934
"1352","WASHINGTON HEIGHTS UPPER","14 RENTALS - 4-10 UNIT","2A","S9",2,2,4,2292,5610,1900,"2","S9",2505309,2022-04-05,40.84997,-73.92997
"1353","WASHINGTON HEIGHTS UPPER","14 RENTALS - 4-10 UNIT","2A","S4",4,1,5,900,2521,1910,"2","S4",926777,2022-05-20,40.85228,-73.93291
"1354","WASHINGTON HEIGHTS UPPER","30 WAREHOUSES","4","E7",0,1,1,17275,34570,1927,"4","E7",20600000,2021-12-16,40.86717,-73.92987
"1355","WASHINGTON HEIGHTS UPPER","37 RELIGIOUS FACILITIES","4","M1",0,2,2,8890,24839,1959,"4","M1",6e+06,2022-01-28,40.8528,-73.93704
